Age,Attrition,BusinessTravel,DailyRate,Department,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DistanceFromoffice,JobInvolvement,Job Level,Total Working Years,Retirement,Promotion status,Job satisfaction,Performance Rating
22,Yes,Non-Travel,1002,Research & Development,4,Other,1,1783,3,Male,32,Business Analyst,3,Single,2391,24165,5,No,22,3,1,80,1,2,3,16,2,5,7,Close,2 Jobs,Level 5,1 Years,On service,due for promotion,Medium,High Ratings
48,No,Travel_Frequently,872,Sales,3,Life Sciences,1,3918,4,Male,34,Software Engineer,4,Married,10623,5960,1,No,19,3,3,80,2,2,3,16,1,0,6,Very Far,1 Jobs,Level 5,19 Years,due for retirement,due for promotion,Low,Low Ratings
49,No,Travel_Rarely,1018,Sales,1,Technical Degree,1,222,4,Female,30,HR Executive,2,Divorced,9483,6011,8,Yes,10,4,4,80,0,4,3,4,7,6,5,Close,4 Jobs,Level 3,10 Years,On service,due for promotion,Medium,High Ratings
33,No,Travel_Rarely,1252,Research & Development,4,Marketing,1,2136,4,Male,87,Manager,4,Married,15459,6826,3,No,11,4,2,80,0,0,1,2,6,6,9,Very Close,1 Jobs,Level 2,25 Years,On service,due for promotion,Medium,High Ratings
46,Yes,Non-Travel,438,Sales,3,Other,1,5225,4,Female,40,Manager,1,Single,18457,26648,1,No,21,3,4,80,1,1,3,9,0,5,1,Close,3 Jobs,Level 3,14 Years,On service,due for promotion,Medium,Low Ratings
37,No,Non-Travel,653,Human Resources,4,Medical,1,1169,2,Male,98,Sales Executive,4,Married,3316,7226,1,Yes,10,3,4,80,3,4,2,18,4,8,4,Very Far,2 Jobs,Level 2,25 Years,On service,due for promotion,Low,High Ratings
36,No,Travel_Rarely,784,Research & Development,1,Other,1,880,2,Male,94,Software Engineer,3,Single,6067,27192,2,No,22,3,4,80,0,2,1,19,8,9,4,Very Close,3 Jobs,Level 2,21 Years,On service,due for promotion,Medium,High Ratings
56,Yes,Travel_Frequently,1088,Human Resources,3,Marketing,1,157,4,Male,77,Business Analyst,1,Married,2095,8616,8,Yes,10,4,1,80,1,5,1,5,9,2,7,Very Close,1 Jobs,Level 5,3 Years,On service,Not due,Low,Low Ratings
32,No,Travel_Rarely,339,Sales,2,Technical Degree,1,1658,2,Male,48,Support Engineer,1,Divorced,10627,5267,6,Yes,14,3,3,80,2,3,3,9,8,7,9,Very Far,4 Jobs,Level 4,6 Years,due for retirement,due for promotion,Medium,High Ratings
35,No,Non-Travel,1095,Human Resources,1,Medical,1,324,3,Male,48,Support Engineer,2,Married,14320,18447,0,Yes,21,4,3,80,0,0,2,17,1,9,1,Very Close,4 Jobs,Level 1,5 Years,due for retirement,due for promotion,Low,High Ratings
